web-scraper-order,web-scraper-start-url,base,base-href,superficie,nbr_pieces,nbr_salle_bain,adresse
"1739537892-1026","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2307001","","","","Dakar, Sénégal"
"1739537896-1027","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-ouest-foire-2307027","","","","Dakar, Sénégal"
"1739537899-1028","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-almadies-2-2307106","","","","Dakar, Sénégal"
"1739537902-1029","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-2307129","","","","Dakar, Sénégal"
"1739537905-1030","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-parcelle-assainies-2307565","","150","","Parcelle Assainies, Dakar, Sénégal"
"1739537908-1031","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2307837","","","","Dakar, Sénégal"
"1739537912-1032","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-ouest-foire-2307956","150","6","3","Yoff, Dakar, Sénégal"
"1739537915-1033","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-fann-residence-2308013","1200 m2","9","9","Dakar, Sénégal"
"1739537918-1034","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-fann-residence-2308043","1200 m2","9","9","Dakar, Sénégal"
"1739537921-1035","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-r2-cite-fadia-2308044","","150","","Dakar, Sénégal"
"1739537925-1036","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-almadies-2-2308114","","175","","Dakar, Sénégal"
"1739537929-1037","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150m-parcelles-assainies-2308685","","150","","Parcelle Assainies, Dakar, Sénégal"
"1739537932-1038","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-parcelles-assainies-2308687","","","","Parcelle Assainies, Dakar, Sénégal"
"1739537935-1039","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-parcelles-assainies-2308705","","","","Parcelle Assainies, Dakar, Sénégal"
"1739537938-1040","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150m-parcelles-assainies-2308722","","","","Parcelle Assainies, Dakar, Sénégal"
"1739537941-1041","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-camberene-2308742","","","","Cambérène, Dakar, Sénégal"
"1739537944-1042","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-parcelles-assainies-unite-16-2308755","","","","Parcelle Assainies, Dakar, Sénégal"
"1739537948-1043","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-parcelles-assainies-unite-16-2308762","","","","Parcelle Assainies, Dakar, Sénégal"
"1739537951-1044","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r4-golf-2308774","","","","Medina, Dakar, Sénégal"
"1739537955-1045","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-nord-foire-2310194","160 m2","8","3","Yoff, Dakar, Sénégal"
"1739537958-1046","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-tivaouane-peulh-2311215","","150 m2","","Cambérène, Dakar, Sénégal"
"1739537962-1047","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2311219","","150 m2","","Cambérène, Dakar, Sénégal"
"1739537965-1048","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-point-e-2311337","","","","Dakar Plateau, Dakar, Sénégal"
"1739537968-1049","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-bourguiba-2311351","","","","Dakar Plateau, Dakar, Sénégal"
"1739537970-1050","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-diakhay-2311920","","150 m2","","Rufisque, Sénégal"
"1739537973-1051","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-04-pieces-dakar-2312030","302","4","3","Dakar, Sénégal"
"1739537976-1052","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-liberte-6-2312261","155 m2","2","3","Dakar, Sénégal"
"1739537978-1053","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-04-pieces-ouakam-2312270","","4","150","Ouakam, Dakar, Sénégal"
"1739537981-1054","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-dakar-2312909","","150","","Dakar, Sénégal"
"1739537986-1055","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-dakar-2313045","","150","","Dakar, Sénégal"
"1739537990-1056","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-mbour-2313143","400","5","2","Mbour, Sénégal"
"1739537993-1057","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-dakar-2313161","400","5","4","Dakar, Sénégal"
"1739537996-1058","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-dakar-2313462","500","5","4","Dakar, Sénégal"
"1739538000-1059","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-meublee-3-pieces-2313832","","","","Saly, Sénégal"
"1739538004-1060","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-boune-2313863","","4","150 m2","Guediawaye, Dakar, Sénégal"
"1739538008-1061","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-serigne-2314862","100 m2","5","2","Touba, Sénégal"
"1739538011-1062","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3481-m-dakar-plateau-2314902","","3481 m2","","Dakar, Sénégal"
"1739538015-1063","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-commerciale-5-pieces-keur-massar-2314994","","2","150 m2","Dakar, Sénégal"
"1739538018-1064","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-2-pieces-ngaparou-2315515","400 m2","3","2","Saly, Sénégal"
"1739538022-1065","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-mbour-2315561","500","7","2","Mbour, Sénégal"
"1739538024-1066","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-08-pieces-mermoz-sacre-coeur-2315788","300","8","7","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538027-1067","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-260-m-hann-maristes-2315801","260","7","5","Hann Bel-Air, Dakar, Sénégal"
"1739538032-1068","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-sicap-liberte-6-2315838","300","9","6","Sicap Liberté, Dakar, Sénégal"
"1739538035-1069","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-almadies-2-2316709","","","","Dakar Plateau, Dakar, Sénégal"
"1739538038-1070","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-fadia-2317192","150 m2","10","5","Biscuiterie, Dakar, Sénégal"
"1739538042-1071","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2317573","150 m2","5","3","Point E, Dakar, Sénégal"
"1739538045-1072","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-dakar-2317969","","7","150 m2","Dakar, Sénégal"
"1739538047-1073","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-zack-mbao-2318001","150 m2","7","5","Dakar, Sénégal"
"1739538050-1074","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-12-pieces-grand-mbao-2318042","150 m2","13","6","Dakar, Sénégal"
"1739538054-1075","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-keur-massar-2318082","150 m2","6","4","Dakar, Sénégal"
"1739538057-1076","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-zac-mbaw-2318698","","","","Dakar, Sénégal"
"1739538061-1077","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-soline-2319307","750 m2","32","5","Saly, Sénégal"
"1739538064-1078","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-6-pieces-mermoz-sacre-coeur-2319917","250","6","5","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538066-1079","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2320063","150 m2","5","3","Point E, Dakar, Sénégal"
"1739538069-1080","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-saly-2320087","","13","300 m2","Mbour, Sénégal"
"1739538072-1081","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-touba-2320209","","250 m2","","Touba, Sénégal"
"1739538076-1082","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-r1-liberte-6-extension-2320375","400 m2","8","5","Sicap Liberté, Dakar, Sénégal"
"1739538078-1083","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-duplex-5-pieces-cite-keur-gorgui-2320387","","4","4","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538082-1084","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-bambilor-2320443","300","5","4","Rufisque, Sénégal"
"1739538085-1085","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-almadies-2-2320488","","2","","Diamniadio, Sénégal"
"1739538088-1086","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-kounoune-2321364","300 m2","5","3","Point E, Dakar, Sénégal"
"1739538091-1087","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-2322025","150 m2","4","3","Dakar, Sénégal"
"1739538094-1088","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-biagyi-2322102","400 m2","6","3","Point E, Dakar, Sénégal"
"1739538097-1089","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-ngor-2322121","600 m2","4","3","Point E, Dakar, Sénégal"
"1739538100-1090","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-150-m-keur-massar-2323550","150","4","2","Rufisque, Sénégal"
"1739538104-1091","https://sn.coinafrique.com/categorie/villas?page=107","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-somone-2323767","300 m2","3","2","Thies, Sénégal"
"1739538122-1092","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-09-pieces-sicap-liberte-2323966","300","9","6","Sicap Liberté, Dakar, Sénégal"
"1739538126-1093","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-07-pieces-sicap-liberte-2324228","300","7","4","Sicap Liberté, Dakar, Sénégal"
"1739538130-1094","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-9-pieces-sicap-liberte-2324386","120","9","6","Sicap Liberté, Dakar, Sénégal"
"1739538132-1095","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-duplex-365-m-fann-residence-2324435","365 m2","3","3","Fann, Dakar, Sénégal"
"1739538136-1096","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2324614","200 m2","5","3","Sicap Liberté, Dakar, Sénégal"
"1739538140-1097","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-niakh-niakhal-2324698","","270 m2","","Mbour, Sénégal"
"1739538143-1098","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-saly-2324707","","3","1","Mbour, Sénégal"
"1739538146-1099","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-sacre-cur-2324766","","","","Dakar, Sénégal"
"1739538149-1100","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-nord-foire-2326994","","","","Dakar Plateau, Dakar, Sénégal"
"1739538152-1101","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2327197","","150 m2","","Biscuiterie, Dakar, Sénégal"
"1739538154-1102","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-duplex-6-pieces-fann-mermoz-2327299","","6","400 m2","Fann, Dakar, Sénégal"
"1739538157-1103","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-parcelles-assainies-2327602","","","","Parcelle Assainies, Dakar, Sénégal"
"1739538160-1104","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-r1-ouest-foire-2327732","1 m2","6","3","Yoff, Dakar, Sénégal"
"1739538164-1105","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mbour-saly-2327742","500","4","4","Mbour, Sénégal"
"1739538167-1106","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-ngor-2328067","","600 m2","","Ngor, Dakar, Sénégal"
"1739538170-1107","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-dakar-2328098","422","5","4","Dakar, Sénégal"
"1739538173-1108","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-sacre-cur-2328104","","169 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538175-1109","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mermoz-sacre-coeur-2328125","451","6","5","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538178-1110","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-2328128","","600","","Saly, Sénégal"
"1739538181-1111","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-saly-2328165","600 m2","6","5","Saly, Sénégal"
"1739538184-1112","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-2-pieces-parcelles-assainies-unite-22-2328225","","180","","Dakar, Sénégal"
"1739538187-1113","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-almadies-2-2328259","","200","","Dakar, Sénégal"
"1739538189-1114","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-bene-barack-yeumbeul-2328279","","","","Dakar, Sénégal"
"1739538193-1115","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-sacre-coeur-3-2328305","","170","","Dakar, Sénégal"
"1739538197-1116","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-almadies-2328306","379 m2","6","5","Dakar, Sénégal"
"1739538200-1117","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-saly-2328312","500","6","5","Saly, Sénégal"
"1739538203-1118","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-kounoune-2328575","150 m2","5","3","Sicap Liberté, Dakar, Sénégal"
"1739538207-1119","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-liberte-1-2328790","150 m2","2","2","Sicap Liberté, Dakar, Sénégal"
"1739538211-1120","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2328794","","","","Dakar, Sénégal"
"1739538213-1121","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2328808","","","","Dakar, Sénégal"
"1739538217-1122","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-saly-2328828","","300 m2","","Guediawaye, Dakar, Sénégal"
"1739538220-1123","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-liberte-6-extension-2328988","400 m2","8","5","Sicap Liberté, Dakar, Sénégal"
"1739538224-1124","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-cite-sipres-mermoz-2329231","500","8","6","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538227-1125","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-sacre-cur-vdn-2329259","","7","4","Dakar, Sénégal"
"1739538230-1126","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-mamelles-t-2329266","","5","3","Dakar, Sénégal"
"1739538233-1127","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-zac-mbao-2329394","","6","","Biscuiterie, Dakar, Sénégal"
"1739538236-1128","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-cite-darou-salam-keur-massar-2329474","150 m2","10","2","Dakar, Sénégal"
"1739538239-1129","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbour-2329645","","","","Mbour, Sénégal"
"1739538242-1130","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-dakar-2329759","150 m2","5","3","Sicap Liberté, Dakar, Sénégal"
"1739538244-1131","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-2329773","","4","120 m2","Dakar, Sénégal"
"1739538248-1132","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-468-m-saly-palmerain-2329905","","","","Saly, Sénégal"
"1739538251-1133","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-dakar-2330058","","","","Dakar, Sénégal"
"1739538254-1134","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-2330104","150 m2","4","2","Sénégal"
"1739538257-1135","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbour-2330271","","","","Mbour, Sénégal"
"1739538260-1136","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbour-2330304","","","","Mbour, Sénégal"
"1739538263-1137","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-zac-mbao-2330500","162 m2","5","3","Sicap Liberté, Dakar, Sénégal"
"1739538267-1138","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-bambilor-2330527","","188000 m2","","Sicap Liberté, Dakar, Sénégal"
"1739538270-1139","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-saly-2330623","500 m2","5","4","Saly, Sénégal"
"1739538273-1140","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-ngaparou-2330634","1000 m2","3","3","Ngaparou, Sénégal"
"1739538277-1141","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-dakar-2331720","","","","Dakar, Sénégal"
"1739538281-1142","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-06-pieces-dakar-2332000","500","6","7","Dakar, Sénégal"
"1739538285-1143","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/titre-foncier-individuel-saly-2332060","500 m2","4","3","Saly, Sénégal"
"1739538288-1144","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-3-pieces-saly-2332592","","3","500","Saly, Sénégal"
"1739538291-1145","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-golf-nord-2332977","250 m2","6","3","Guédiawaye, Dakar, Sénégal"
"1739538294-1146","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-fadia-2333060","","150 m2","","Guédiawaye, Dakar, Sénégal"
"1739538298-1147","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-7-pieces-guediawaye-2333320","","","","Guediawaye, Dakar, Sénégal"
"1739538301-1148","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-4-pieces-mermoz-sacre-coeur-2333337","","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538304-1149","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-keur-massar-2333338","150 m2","6","4","Dakar, Sénégal"
"1739538308-1150","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-dakar-2333357","500","4","4","Dakar, Sénégal"
"1739538311-1151","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-yoff-2334080","","1341","","Yoff, Dakar, Sénégal"
"1739538314-1152","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-lliberte-1-2334101","","1","130","Sicap Liberté, Dakar, Sénégal"
"1739538318-1153","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-liberte-4-2334108","","130","","Sicap Liberté, Dakar, Sénégal"
"1739538322-1154","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-magistrat-2334164","200 m2","5","3","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739538325-1155","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-250-m2-saly-2334299","","500","","Saly, Sénégal"
"1739538328-1156","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-mamelles-cite-cheikh-amar-2334373","","","","Dakar, Sénégal"
"1739538332-1157","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-rufisque-2334393","","","","Dakar, Sénégal"
"1739538336-1158","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-mbaye-fall-2334431","225 m2","5","3","Pikine, Sénégal"
"1739538339-1159","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2334452","","380 m2","","Rufisque, Sénégal"
"1739538342-1160","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-ouest-foire-2334704","","","","Yoff, Dakar, Sénégal"
"1739538346-1161","https://sn.coinafrique.com/categorie/villas?page=106","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-pikine-tally-boumague-2334991","","","","Dakar, Sénégal"
